vv_path,vh_path,label_name,label
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F__Bulk Carrier_x10683_y14480_vv__MTL189p99W32p30R5p88.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F__Bulk Carrier_x10683_y14480_vh__MTL189p99W32p30R5p88.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x1966_y9832_vv__MTL199p98W32p31R6p19.png,/root/private_data/cls_vh/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x1966_y9832_vh__MTL199p98W32p31R6p19.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/val/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929__Oil_Chemical Tanker_x2497_y8632_vv__MTL157p00W23p50R6p68.png,/root/private_data/cls_vh/val/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929__Oil_Chemical Tanker_x2497_y8632_vh__MTL157p00W23p50R6p68.png,Tanker,Tanker
/root/private_data/cls_vv/train/Container Ship/Container Ship__S1A_IW_GRDH_1SDV_20160328T095421_20160328T095446_010568_00FB64_215C__Container Ship_x22840_y12877_vv__MTL266p65W35p40R7p53.png,/root/private_data/cls_vh/train/Container Ship/Container Ship__S1A_IW_GRDH_1SDV_20160328T095421_20160328T095446_010568_00FB64_215C__Container Ship_x22840_y12877_vh__MTL266p65W35p40R7p53.png,Container Ship,Container Ship
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2__Bulk Carrier_x7813_y15290_vv__MTL292p00W45p00R6p49.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2__Bulk Carrier_x7813_y15290_vh__MTL292p00W45p00R6p49.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160302T221225_20160302T221250_010196_00F0D2_D0C8__Bulk Carrier_x2410_y13980_vv__MTL189p99W32p28R5p89.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160302T221225_20160302T221250_010196_00F0D2_D0C8__Bulk Carrier_x2410_y13980_vh__MTL189p99W32p28R5p89.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160102T221226_20160102T221251_009321_00D788_F5BA__Oil Products Tanker_x5571_y14074_vv__MTL332p90W60p04R5p54.png,/root/private_data/cls_vh/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160102T221226_20160102T221251_009321_00D788_F5BA__Oil Products Tanker_x5571_y14074_vh__MTL332p90W60p04R5p54.png,Tanker,Tanker
/root/private_data/cls_vv/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160102T221226_20160102T221251_009321_00D788_F5BA__Bulk Carrier_x494_y12509_vv__MTL299p92W50p00R6p00.png,/root/private_data/cls_vh/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160102T221226_20160102T221251_009321_00D788_F5BA__Bulk Carrier_x494_y12509_vh__MTL299p92W50p00R6p00.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x8389_y14008_vv__MTL189p99W32p00R5p94.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x8389_y14008_vh__MTL189p99W32p00R5p94.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x10571_y12987_vv__MTL189p99W32p26R5p89.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x10571_y12987_vh__MTL189p99W32p26R5p89.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x10575_y14521_vv__MTL176p20W26p03R6p77.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x10575_y14521_vh__MTL176p20W26p03R6p77.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x11579_y11938_vv__MTL144p25W23p00R6p27.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x11579_y11938_vh__MTL144p25W23p00R6p27.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F__Bulk Carrier_x9458_y14635_vv__MTL189p00W32p30R5p85.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F__Bulk Carrier_x9458_y14635_vh__MTL189p00W32p30R5p85.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160326T221226_20160326T221251_010546_00FAC9_4D44__Tanker_x11642_y13864_vv__MTL53p00W9p00R5p89.png,/root/private_data/cls_vh/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160326T221226_20160326T221251_010546_00FAC9_4D44__Tanker_x11642_y13864_vh__MTL53p00W9p00R5p89.png,Tanker,Tanker
/root/private_data/cls_vv/test/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929__Bulk Carrier_x2214_y8292_vv__MTL158p21W23p00R6p88.png,/root/private_data/cls_vh/test/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929__Bulk Carrier_x2214_y8292_vh__MTL158p21W23p00R6p88.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_97D5__Tanker_x7505_y7501_vv__MTL82p00W12p00R6p83.png,/root/private_data/cls_vh/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_97D5__Tanker_x7505_y7501_vh__MTL82p00W12p00R6p83.png,Tanker,Tanker
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x7563_y16585_vv__MTL225p00W33p00R6p82.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054__Bulk Carrier_x7563_y16585_vh__MTL225p00W33p00R6p82.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Container Ship/Container Ship__S1A_IW_GRDH_1SDV_20160328T095421_20160328T095446_010568_00FB64_215C__Container Ship_x20624_y3516_vv__MTL260p10W32p35R8p04.png,/root/private_data/cls_vh/train/Container Ship/Container Ship__S1A_IW_GRDH_1SDV_20160328T095421_20160328T095446_010568_00FB64_215C__Container Ship_x20624_y3516_vh__MTL260p10W32p35R8p04.png,Container Ship,Container Ship
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160606T221232_20160606T221257_011596_011B8A_E6B1__Bulk Carrier_x9019_y12551_vv__MTL224p95W32p28R6p97.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160606T221232_20160606T221257_011596_011B8A_E6B1__Bulk Carrier_x9019_y12551_vh__MTL224p95W32p28R6p97.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2__Bulk Carrier_x5723_y13545_vv__MTL300p00W50p06R5p99.png,/root/private_data/cls_vh/val/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2__Bulk Carrier_x5723_y13545_vh__MTL300p00W50p06R5p99.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x8045_y15316_vv__MTL324p00W56p00R5p79.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5__Bulk Carrier_x8045_y15316_vh__MTL324p00W56p00R5p79.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/test/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1__Bulk Carrier_x384_y9455_vv__MTL189p99W32p00R5p94.png,/root/private_data/cls_vh/test/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1__Bulk Carrier_x384_y9455_vh__MTL189p99W32p00R5p94.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1__Bulk Carrier_x10655_y12022_vv__MTL168p76W26p00R6p49.png,/root/private_data/cls_vh/train/Bulk Carrier/Bulk Carrier__S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1__Bulk Carrier_x10655_y12022_vh__MTL168p76W26p00R6p49.png,Bulk Carrier,Bulk Carrier
/root/private_data/cls_vv/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_97D5__Oil_Chemical Tanker_x15265_y6323_vv__MTL182p50W32p20R5p67.png,/root/private_data/cls_vh/train/Tanker/Tanker__S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_97D5__Oil_Chemical Tanker_x15265_y6323_vh__MTL182p50W32p20R5p67.png,Tanker,Tanker
